Identifier,Description
GlobalExchange,Data are published for global exchange via the WIS. Data shall be incorporated into the GISC Cache.
RegionalExchange,Data are published for regional exchange via a GISC.
OriginatingCentre,Data are published for exchange directly via the originating centre.
