Identifier,Description
WMOEssential,WMO Essential Data: free and unrestricted international exchange of basic meteorological, hydrological or GFCS relevant climate related data and products.
WMOAdditional,WMO Additional Data: free and unrestricted access to data and products exchanged under the auspices of WMO to the research and education communities for non-commercial activities. A more precise definition of the data policy may be additionally supplied within the metadata. In all cases it shall be the responsibility of the data consumer to ensure that they understand the data policy specified by the data provider - which may necessitate dialogue with the data publisher for confirmation of terms.
WMOOther,Data that is not covered by WMO Resolution 25 or WMO Resolution 40; e.g. aviation OPMET data. Data marked with "WMO Other" data policy shall be treated like "WMO Additional" where a more precise definition of the data policy may be additionally supplied within the metadata. In all cases it shall be the responsibility of the data consumer to ensure that they understand the data policy specified by the data provider - which may necessitate dialogue with the data publisher for confirmation of terms and conditions.
NoLimitation, No limitation on distribution or use.
